ID_Pregunta,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_Correcta,Comentario_A,Comentario_B,Comentario_C,Comentario_Correcta,Estado,ID_Video,ID_Area,ID_Tema
PREG001, Caso: Un estudiante diseña un sistema de transmisión para una mezcladora industrial donde los ejes de entrada y salida están a 90°. ¿Que tipo de engranaje es el mas adecuado?, Engranaje Recto, Engranaje helicoidal, no aplica, Engranaje Conico,Incorrecto.  Engranaje Recto no es la mejor opción para resolver el caso descrito. Revisa las características de  engranaje recto y su aplicación práctica.,Incorrecto.  Engranaje helicoidal no es la mejor opción para resolver el caso descrito. Revisa las características de  engranaje helicoidal y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Engranaje Conico es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG002, Caso: Para un brazo robótico y se necesita un sistema que convierta un movimiento rotatorio en lineal con alta precisión. ¿Que mecanismo es el mas adecuado?,Polea y cable, Banda Sincrona, no aplica, Piñon y cremallera,Incorrecto. Polea y cable no es la mejor opción para resolver el caso descrito. Revisa las características de polea y cable y su aplicación práctica.,Incorrecto.  Banda Sincrona no es la mejor opción para resolver el caso descrito. Revisa las características de  banda sincrona y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Piñon y cremallera es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG003, Caso: Una maquina troqueladora se requiere un sistema que reduzca velocidad y aumente torque ¿Que componente mecanico se debe utilizar?,Leva y seguidor, Correa trapezoidal,  no aplica, Tren de engranajes reductores,Incorrecto. Leva y seguidor no es la mejor opción para resolver el caso descrito. Revisa las características de leva y seguidor y su aplicación práctica.,Incorrecto.  Correa trapezoidal no es la mejor opción para resolver el caso descrito. Revisa las características de  correa trapezoidal y su aplicación práctica.,Incorrecto.   no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de   no aplica y su aplicación práctica.,"Correcto.  Tren de engranajes reductores es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG004, Caso: Un estudiante desarrolla una plataforma que debe soportar cargas radiales y axiales de forma alternada. ¿Qué tipo de rodamiento debe seleccionar?,Rodamiento de agujas, Cojinete liso, no aplica, Rodamiento de bolas de contacto angular,Incorrecto. Rodamiento de agujas no es la mejor opción para resolver el caso descrito. Revisa las características de rodamiento de agujas y su aplicación práctica.,Incorrecto.  Cojinete liso no es la mejor opción para resolver el caso descrito. Revisa las características de  cojinete liso y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Rodamiento de bolas de contacto angular es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG005, Caso: Un equipo requiere unir dos ejes con ligera desalineación angular y transmitir par de torsión. ¿Qué tipo de acoplamiento es más adecuado?, Junta universal, acomplamiento rigido, no aplica, acomplamiento flexible,Incorrecto.  Junta universal no es la mejor opción para resolver el caso descrito. Revisa las características de  junta universal y su aplicación práctica.,Incorrecto.  acomplamiento rigido no es la mejor opción para resolver el caso descrito. Revisa las características de  acomplamiento rigido y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  acomplamiento flexible es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG006, Caso: Para un prototipo de caminadora robótica y se busca un material estructural liviano pero resistente. ¿Cuál de los siguientes es el más apropiado?,Plástico ABS, Hierro fundido, no aplica, Aleacion de aluminio,Incorrecto. Plástico ABS no es la mejor opción para resolver el caso descrito. Revisa las características de plástico abs y su aplicación práctica.,Incorrecto.  Hierro fundido no es la mejor opción para resolver el caso descrito. Revisa las características de  hierro fundido y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Aleacion de aluminio es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG007, Caso: En una aplicación donde se requiere amortiguar vibraciones en un sistema mecánico. ¿Qué elemento es más útil?,Resortes helicoidales , Ejes de acero solido, no aplica, Montajes con aisladores de goma,Incorrecto. Resortes helicoidales  no es la mejor opción para resolver el caso descrito. Revisa las características de resortes helicoidales  y su aplicación práctica.,Incorrecto.  Ejes de acero solido no es la mejor opción para resolver el caso descrito. Revisa las características de  ejes de acero solido y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Montajes con aisladores de goma es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG008, Caso: En una banda transportadora y se necesita controlar el flujo de objetos por fricción. ¿Qué parámetro es clave en el diseño del contacto entre rodillos y banda?,Diámetro del eje, Velocidad angular, no aplica, Coeficiente de friccion,Incorrecto. Diámetro del eje no es la mejor opción para resolver el caso descrito. Revisa las características de diámetro del eje y su aplicación práctica.,Incorrecto.  Velocidad angular no es la mejor opción para resolver el caso descrito. Revisa las características de  velocidad angular y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Coeficiente de friccion es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG009, Caso: Un mecanismo de leva acciona una válvula neumática con perfil sinusoidal. ¿Qué beneficio aporta ese perfil al sistema?,Reducción de torque, Mayor fuerza de impacto, no aplica, Movimiento suave y continuo,Incorrecto. Reducción de torque no es la mejor opción para resolver el caso descrito. Revisa las características de reducción de torque y su aplicación práctica.,Incorrecto.  Mayor fuerza de impacto no es la mejor opción para resolver el caso descrito. Revisa las características de  mayor fuerza de impacto y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Movimiento suave y continuo es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG010, Caso: Una máquina de corte opera con movimientos cíclicos y precisa alta durabilidad en la articulación.¿Qué tipo de unión es más conveniente?,Adhesivo epóxico, Soldadura MIG, no aplica, Union con pasadores cilindricos,Incorrecto. Adhesivo epóxico no es la mejor opción para resolver el caso descrito. Revisa las características de adhesivo epóxico y su aplicación práctica.,Incorrecto.  Soldadura MIG no es la mejor opción para resolver el caso descrito. Revisa las características de  soldadura mig y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Union con pasadores cilindricos es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM01
PREG011, Caso: Un estudiante diseña un sistema de control de temperatura con un termistor NTC y necesita convertir la variación de resistencia en una señal de voltaje para leerla con un microcontrolador. ¿Qué circuito debe emplear? ,Comparador de ventana, Amplificador operacional en modo inversor, no aplica, Divisor de voltaje,Incorrecto. Comparador de ventana no es la mejor opción para resolver el caso descrito. Revisa las características de comparador de ventana y su aplicación práctica.,Incorrecto.  Amplificador operacional en modo inversor no es la mejor opción para resolver el caso descrito. Revisa las características de  amplificador operacional en modo inversor y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Divisor de voltaje es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
PREG012, Caso: Se requiere que un sistema digital almacene un estado lógico (1 o 0) hasta que llegue una nueva señal. ¿Qué componente se debe emplear?,  Contador binario, Multiplexor, no aplica, Flip-Flop tipo D,Incorrecto.   Contador binario no es la mejor opción para resolver el caso descrito. Revisa las características de   contador binario y su aplicación práctica.,Incorrecto.  Multiplexor no es la mejor opción para resolver el caso descrito. Revisa las características de  multiplexor y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  Flip-Flop tipo D es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
PREG013, Caso: Se desea controlar la velocidad de un motor de corriente directa de 24 V mediante una señal digital desde un microcontrolador de 5 V. ¿Qué dispositivo de potencia es más adecuado?, Transformador, Puente rectificador, no aplica, MOSFET de canal N,Incorrecto.  Transformador no es la mejor opción para resolver el caso descrito. Revisa las características de  transformador y su aplicación práctica.,Incorrecto.  Puente rectificador no es la mejor opción para resolver el caso descrito. Revisa las características de  puente rectificador y su aplicación práctica.,Incorrecto.  no aplica no es la mejor opción para resolver el caso descrito. Revisa las características de  no aplica y su aplicación práctica.,"Correcto.  MOSFET de canal N es la elección adecuada porque cumple con las necesidades mecánicas del escenario presentado, garantizando un funcionamiento eficiente y seguro.",Activo, no aplica,AR1C2,TEM02
